Symptom1,Symptom2,Symptom3,Disease
Nausea,Hearing loss,Shortness of breath,Lupus_793024
Jaundice,Sneezing,Shortness of breath,Mononucleosis_579817
Cough,Diarrhea,Sweating,Anemia_772400
Nausea,Vomiting,Fatigue,Malaria_763929
Sneezing,Fatigue,Tingling,Tetanus_318176
Anxiety,Hair loss,Chest pain,Sinusitis_590678
Night sweats,Jaundice,Tingling,Tetanus_942396
Dizziness,Insomnia,Headache,COVID-19_682047
Fatigue,Palpitations,Hair loss,Bronchitis_752622
Vomiting,Dry mouth,Sneezing,Glaucoma_410252
Blurred vision,Rash,Itchy skin,Tuberculosis_533972
Weight loss,Loss of appetite,Palpitations,Celiac Disease_860309
Back pain,Joint pain,Rash,Diabetes_142555
Depression,Chest pain,Sneezing,Sinusitis_767640
Loss of appetite,Back pain,Dry mouth,Asthma_131609
Back pain,Diarrhea,Wheezing,Meningitis_250180
Itchy skin,Sore throat,Insomnia,Leprosy_875317
Weight loss,Depression,Chills,Bronchitis_221184
Depression,Tingling,Night sweats,Conjunctivitis_521844
Dizziness,Headache,Depression,Conjunctivitis_149934
Chills,Loss of appetite,Sweating,Arthritis_661725
Constipation,Sweating,Nausea,Migraine_201125
Fatigue,Runny nose,Dry mouth,Rabies_770766
Shortness of breath,Joint pain,Tingling,COVID-19_246933
Blurred vision,Back pain,Abdominal pain,Asthma_693637
Tingling,Hair loss,Nausea,Malaria_545935
Palpitations,Swollen glands,Nausea,Hepatitis B_13965
Tingling,Headache,Sweating,Lupus_819980
Hearing loss,Shortness of breath,Fatigue,Zika Virus_663044
Fever,Diarrhea,Sweating,Dengue_316120
Tremors,Nausea,Shortness of breath,Sinusitis_484464
Tremors,Red eyes,Headache,Scabies_684057
Diarrhea,Nausea,Night sweats,Tetanus_32056
Nausea,Night sweats,Vomiting,HIV/AIDS_423640
Muscle pain,Tingling,Hair loss,Vertigo_294123
Fever,Sweating,Jaundice,Arthritis_295611
Hair loss,Dry mouth,Depression,Multiple Sclerosis_446004
Insomnia,Cough,Swollen glands,Tuberculosis_825934
Tingling,Fatigue,Swollen glands,Chickenpox_828287
Tingling,Rash,Night sweats,Thalassemia_990007
Red eyes,Fatigue,Depression,Influenza_411614
Palpitations,Fatigue,Loss of appetite,Tonsillitis_323606
Itchy skin,Constipation,Wheezing,Psoriasis_67747
Muscle pain,Diarrhea,Nausea,Gonorrhea_885939
Palpitations,Back pain,Loss of appetite,Arthritis_662461
Sneezing,Cough,Dizziness,Zika Virus_348036
Back pain,Anxiety,Blurred vision,COVID-19_84737
Shortness of breath,Dizziness,Chills,Glaucoma_609754
Back pain,Diarrhea,Abdominal pain,Dengue_810390
Swollen glands,Loss of appetite,Insomnia,Cholera_994723
Jaundice,Tingling,Chills,Meningitis_53300
Back pain,Rash,Depression,Typhoid_751190
Palpitations,Dizziness,Abdominal pain,Dengue_737296
Rash,Constipation,Swollen glands,Zika Virus_798974
Fever,Tingling,Runny nose,Depression_860543
Sore throat,Insomnia,Depression,Meningitis_926472
Red eyes,Swollen glands,Tremors,UTI_525272
Dry mouth,Palpitations,Insomnia,Ulcerative Colitis_360821
Chills,Fever,Abdominal pain,Scabies_552773
Hearing loss,Swollen glands,Muscle pain,Thalassemia_116099
Jaundice,Hair loss,Dry mouth,Bronchitis_438488
Loss of appetite,Chest pain,Insomnia,Pneumonia_744381
Swollen glands,Depression,Weight loss,Multiple Sclerosis_710182
Dry mouth,Muscle pain,Itchy skin,Ulcerative Colitis_369791
Dry mouth,Rash,Back pain,UTI_37672
Jaundice,Shortness of breath,Runny nose,Pneumonia_911867
Chest pain,Sore throat,Weight loss,Chickenpox_549757
Loss of appetite,Tingling,Swollen glands,Celiac Disease_335311
Nausea,Depression,Dry mouth,Dengue_993516
Loss of appetite,Jaundice,Weight loss,Ulcerative Colitis_323331
Shortness of breath,Chest pain,Itchy skin,Glaucoma_407354
Hearing loss,Diarrhea,Night sweats,Bronchitis_966844
Blurred vision,Fatigue,Anxiety,Arthritis_375099
Weight loss,Sore throat,Dizziness,Scabies_721823
Chills,Diarrhea,Runny nose,Chickenpox_273619
Palpitations,Back pain,Rash,Mononucleosis_969345
Swollen glands,Hair loss,Chills,Typhoid_899448
Red eyes,Palpitations,Hearing loss,Lupus_231226
Cough,Headache,Fever,Measles_786125
Hearing loss,Constipation,Swollen glands,Gonorrhea_60975
Jaundice,Joint pain,Dizziness,Arthritis_559375
Rash,Sweating,Swollen glands,Measles_793531
Joint pain,Tremors,Constipation,Pneumonia_776627
Runny nose,Hair loss,Insomnia,Influenza_148908
Insomnia,Nausea,Sore throat,Lupus_311496
Weight loss,Fatigue,Jaundice,Thalassemia_815713
Blurred vision,Diarrhea,Cough,Malaria_468701
Back pain,Cough,Dizziness,HIV/AIDS_402664
Joint pain,Diarrhea,Nausea,Typhoid_790060
Fatigue,Joint pain,Hearing loss,UTI_533506
Headache,Swollen glands,Chest pain,Dengue_744610
Palpitations,Shortness of breath,Weight loss,Cholera_844671
Muscle pain,Fatigue,Hair loss,Celiac Disease_101493
Shortness of breath,Night sweats,Wheezing,Scabies_131137
Rash,Insomnia,Red eyes,Measles_431695
Sore throat,Sneezing,Dizziness,Glaucoma_119164
Insomnia,Red eyes,Fatigue,Vertigo_525687
Sweating,Wheezing,Swollen glands,Typhoid_55072
Wheezing,Red eyes,Fatigue,Gastroenteritis_648393
Cough,Palpitations,Swollen glands,Jaundice_14472
Night sweats,Weight loss,Rash,Mononucleosis_284129
Loss of appetite,Shortness of breath,Tremors,Meningitis_724348
Weight loss,Depression,Red eyes,Hepatitis A_43528
Abdominal pain,Jaundice,Chest pain,Bronchitis_986992
Anxiety,Wheezing,Tingling,Gastroenteritis_486013
Dizziness,Sore throat,Hair loss,Diabetes_149455
Nausea,Headache,Muscle pain,Scabies_760003
Headache,Palpitations,Back pain,Syphilis_354193
Rash,Night sweats,Tremors,Influenza_298822
Rash,Headache,Joint pain,Hepatitis A_909478
Depression,Cough,Tremors,Tonsillitis_114306
Jaundice,Back pain,Sweating,COVID-19_422239
Night sweats,Anxiety,Sneezing,Chickenpox_213911
Dry mouth,Hair loss,Dizziness,Diabetes_460645
Runny nose,Cough,Palpitations,Rabies_23680
Sore throat,Anxiety,Dizziness,Sinusitis_703884
Shortness of breath,Chest pain,Abdominal pain,Chickenpox_939837
Tremors,Shortness of breath,Loss of appetite,HIV/AIDS_848496
Runny nose,Constipation,Cough,Diabetes_321127
Fever,Abdominal pain,Hearing loss,Leprosy_582665
Night sweats,Hearing loss,Dizziness,Thalassemia_348031
Palpitations,Cough,Headache,Gastroenteritis_161667
Hair loss,Jaundice,Sweating,Thalassemia_123413
Abdominal pain,Headache,Sneezing,Dengue_834494
Rash,Insomnia,Weight loss,Conjunctivitis_170082
Depression,Constipation,Abdominal pain,Typhoid_7600
Nausea,Depression,Shortness of breath,Pneumonia_817199
Joint pain,Insomnia,Depression,Typhoid_906670
Diarrhea,Dizziness,Blurred vision,Cholera_964041
Tingling,Vomiting,Diarrhea,Vertigo_736045
Red eyes,Chest pain,Chills,Chickenpox_363319
Hearing loss,Back pain,Sore throat,Migraine_632605
Joint pain,Back pain,Blurred vision,Migraine_979859
Muscle pain,Palpitations,Sneezing,Pneumonia_751511
Blurred vision,Cough,Muscle pain,Psoriasis_55465
Weight loss,Blurred vision,Cough,Rabies_157218
Anxiety,Cough,Rash,Scabies_130953
Night sweats,Fatigue,Sore throat,Dengue_463826
Weight loss,Swollen glands,Fever,Hepatitis B_66129
Tremors,Sneezing,Dizziness,COVID-19_838631
Anxiety,Runny nose,Chest pain,Mononucleosis_43181
Tremors,Blurred vision,Abdominal pain,Dengue_846224
Red eyes,Muscle pain,Fever,Cholera_802167
Shortness of breath,Diarrhea,Hair loss,Tetanus_597626
Anxiety,Palpitations,Swollen glands,Multiple Sclerosis_79798
Depression,Insomnia,Vomiting,Gonorrhea_157345
Tremors,Sore throat,Sneezing,Jaundice_45936
Wheezing,Depression,Chest pain,Hepatitis A_531588
Palpitations,Muscle pain,Runny nose,Scabies_387587
Joint pain,Night sweats,Insomnia,Typhoid_23654
Itchy skin,Shortness of breath,Rash,Migraine_742361
Swollen glands,Diarrhea,Sweating,Zika Virus_316296
Dizziness,Fever,Sneezing,Scabies_414451
Chills,Tremors,Dry mouth,Diabetes_548597
Insomnia,Anxiety,Joint pain,Mononucleosis_178605
Itchy skin,Headache,Hearing loss,Mononucleosis_398991
Dizziness,Sore throat,Fever,Glaucoma_902176
Insomnia,Loss of appetite,Sneezing,Measles_442367
Insomnia,Itchy skin,Sore throat,Psoriasis_12915
Chest pain,Back pain,Dry mouth,Glaucoma_488498
Red eyes,Palpitations,Vomiting,Glaucoma_419636
Chills,Fever,Hearing loss,Gonorrhea_774389
Vomiting,Jaundice,Joint pain,Anemia_918910
Loss of appetite,Vomiting,Anxiety,Malaria_928471
Hearing loss,Dizziness,Fever,Cholera_937085
Chills,Shortness of breath,Blurred vision,Leprosy_267795
Fatigue,Dizziness,Back pain,Scabies_784751
Loss of appetite,Dry mouth,Hair loss,Typhoid_943792
Dry mouth,Cough,Tremors,Lupus_364350
Tremors,Nausea,Insomnia,COVID-19_697917
Runny nose,Anxiety,Weight loss,Asthma_351075
Fatigue,Diarrhea,Runny nose,Influenza_963936
Fatigue,Red eyes,Depression,Psoriasis_771639
Palpitations,Tremors,Muscle pain,Zika Virus_577484
Runny nose,Itchy skin,Sore throat,Depression_572583
Constipation,Rash,Jaundice,Asthma_391233
Loss of appetite,Shortness of breath,Tingling,Malaria_863335
Chills,Fever,Jaundice,Epilepsy_889616
Vomiting,Nausea,Constipation,Meningitis_804388
Rash,Joint pain,Runny nose,Celiac Disease_156647
Shortness of breath,Depression,Runny nose,Sinusitis_519562
Muscle pain,Depression,Sneezing,Arthritis_877281
Dry mouth,Itchy skin,Constipation,Cholera_160513
Tremors,Insomnia,Sweating,Migraine_917023
Vomiting,Muscle pain,Swollen glands,Pneumonia_140585
Constipation,Back pain,Insomnia,Psoriasis_186059
Sneezing,Weight loss,Rash,Vertigo_251343
Insomnia,Red eyes,Jaundice,Psoriasis_857843
Tremors,Abdominal pain,Diarrhea,Multiple Sclerosis_177410
Cough,Anxiety,Hair loss,Diabetes_429595
Wheezing,Chest pain,Weight loss,Jaundice_791872
Insomnia,Dizziness,Fever,Pneumonia_555321
Tingling,Dry mouth,Weight loss,Influenza_275546
Chills,Shortness of breath,Abdominal pain,Meningitis_882726
Vomiting,Sweating,Jaundice,Glaucoma_383020
Dizziness,Back pain,Fever,Scabies_537409
Cough,Tingling,Abdominal pain,Scabies_916173
Abdominal pain,Swollen glands,Depression,Gonorrhea_861283
Dry mouth,Constipation,Fever,Hepatitis A_929304
Sneezing,Dizziness,Abdominal pain,Conjunctivitis_80934
Back pain,Abdominal pain,Wheezing,Hepatitis B_448527
Night sweats,Hearing loss,Chills,Ulcerative Colitis_843085
Chills,Diarrhea,Jaundice,Tonsillitis_268958
Fatigue,Tremors,Swollen glands,UTI_495280
Cough,Sneezing,Hair loss,Depression_943297
Runny nose,Anxiety,Insomnia,Bronchitis_561492
Palpitations,Hair loss,Insomnia,Meningitis_406718
Night sweats,Runny nose,Tingling,Asthma_701181
Dizziness,Blurred vision,Depression,HIV/AIDS_948776
Joint pain,Dry mouth,Jaundice,Multiple Sclerosis_442646
Hearing loss,Itchy skin,Nausea,Glaucoma_343874
Depression,Rash,Dry mouth,Gonorrhea_680549
Back pain,Itchy skin,Insomnia,Ulcerative Colitis_482491
Wheezing,Loss of appetite,Dizziness,Asthma_382861
Night sweats,Runny nose,Dizziness,UTI_664238
Diarrhea,Depression,Dizziness,Leprosy_424885
Back pain,Sneezing,Anxiety,Syphilis_715155
Chest pain,Tremors,Sweating,Gonorrhea_251599
Hair loss,Tremors,Cough,Influenza_624824
Cough,Tremors,Weight loss,Chikungunya_885932
Swollen glands,Tremors,Blurred vision,Typhoid_822674
Sore throat,Red eyes,Jaundice,Measles_500281
Night sweats,Shortness of breath,Sweating,Dengue_976404
Chest pain,Tremors,Hearing loss,Hypertension_159346
Joint pain,Vomiting,Jaundice,Gonorrhea_542779
Headache,Constipation,Dry mouth,Lupus_676644
Night sweats,Sweating,Loss of appetite,Scabies_253313
Headache,Chest pain,Sweating,Conjunctivitis_816842
Sweating,Runny nose,Joint pain,Conjunctivitis_477132
Nausea,Fatigue,Blurred vision,Arthritis_289723
Runny nose,Anxiety,Headache,Jaundice_446044
Nausea,Tremors,Jaundice,Malaria_922445
Cough,Swollen glands,Fever,Psoriasis_626233
Diarrhea,Itchy skin,Rash,Anemia_479242
Itchy skin,Jaundice,Tingling,Sinusitis_968844
Runny nose,Insomnia,Jaundice,Sinusitis_339932
Night sweats,Sore throat,Dizziness,Influenza_586184
Insomnia,Tremors,Weight loss,Scabies_382619
Loss of appetite,Abdominal pain,Weight loss,Tetanus_918752
Swollen glands,Itchy skin,Shortness of breath,Tetanus_807800
Shortness of breath,Nausea,Swollen glands,Lupus_265542
Joint pain,Wheezing,Sore throat,Thalassemia_994009
Muscle pain,Nausea,Palpitations,Measles_697529
Night sweats,Dry mouth,Shortness of breath,Zika Virus_627440
Constipation,Insomnia,Muscle pain,Tuberculosis_224530
Chest pain,Joint pain,Sweating,Migraine_848805
Nausea,Dry mouth,Headache,Hepatitis B_209143
Diarrhea,Swollen glands,Back pain,Asthma_110863
Vomiting,Joint pain,Fatigue,Meningitis_700382
Jaundice,Red eyes,Joint pain,Scabies_655169
Blurred vision,Depression,Cough,Sinusitis_907986
Tingling,Sweating,Palpitations,Hypertension_669900
Hair loss,Loss of appetite,Hearing loss,Multiple Sclerosis_792660
Fever,Hair loss,Blurred vision,Measles_69583
Sneezing,Jaundice,Shortness of breath,UTI_646436
Red eyes,Hearing loss,Loss of appetite,Sinusitis_314448
Hearing loss,Fatigue,Nausea,Tuberculosis_808086
Vomiting,Abdominal pain,Swollen glands,Psoriasis_735851
Chest pain,Tingling,Palpitations,Typhoid_311200
Chest pain,Depression,Fever,Hepatitis A_848620
Night sweats,Anxiety,Palpitations,Diabetes_159299
Dry mouth,Wheezing,Dizziness,Leprosy_275293
Sore throat,Headache,Joint pain,Rabies_399822
Anxiety,Nausea,Night sweats,Gonorrhea_937367
Hair loss,Tremors,Loss of appetite,Conjunctivitis_938190
Rash,Chest pain,Sore throat,Leprosy_637589
Headache,Red eyes,Tremors,Chikungunya_598156
Palpitations,Itchy skin,Hearing loss,Psoriasis_857107
Muscle pain,Constipation,Diarrhea,Chickenpox_461943
Weight loss,Dry mouth,Tingling,Bronchitis_368890
Weight loss,Vomiting,Anxiety,Meningitis_612982
Vomiting,Anxiety,Wheezing,Syphilis_691603
Swollen glands,Nausea,Chills,Dengue_450670
Fever,Hair loss,Night sweats,Depression_633533
Fever,Rash,Jaundice,Anemia_654962
Runny nose,Night sweats,Tremors,Hepatitis B_138027
Swollen glands,Anxiety,Loss of appetite,Measles_692653
Itchy skin,Blurred vision,Vomiting,Tetanus_660876
Sore throat,Jaundice,Muscle pain,Sinusitis_434278
Swollen glands,Runny nose,Constipation,Diabetes_951879
Dry mouth,Shortness of breath,Palpitations,Typhoid_959340
Runny nose,Jaundice,Swollen glands,Lupus_124092
Abdominal pain,Palpitations,Loss of appetite,Migraine_446167
Rash,Muscle pain,Back pain,Thalassemia_767781
Cough,Abdominal pain,Swollen glands,Celiac Disease_939659
Blurred vision,Vomiting,Fever,Syphilis_2523
Swollen glands,Anxiety,Hair loss,Tetanus_971744
Hair loss,Vomiting,Headache,Meningitis_57164
Diarrhea,Insomnia,Sore throat,Pneumonia_972771
Sore throat,Dry mouth,Insomnia,UTI_453236
Dry mouth,Chills,Fever,Celiac Disease_651791
Tingling,Tremors,Abdominal pain,Mononucleosis_423877
Chills,Blurred vision,Tingling,Thalassemia_191447
Anxiety,Sneezing,Fever,Bronchitis_928250
Sore throat,Sneezing,Depression,Hepatitis B_94787
Tremors,Chest pain,Sore throat,HIV/AIDS_792652
Hair loss,Insomnia,Palpitations,Gastroenteritis_771167
Wheezing,Back pain,Jaundice,Migraine_3049
Swollen glands,Sneezing,Sweating,UTI_105522
Depression,Runny nose,Loss of appetite,Thalassemia_700759
Fatigue,Tingling,Sore throat,Diabetes_326371
Hair loss,Dizziness,Anxiety,Pneumonia_245419
Night sweats,Jaundice,Sore throat,Cholera_534171
Sweating,Shortness of breath,Joint pain,Influenza_225406
Cough,Back pain,Joint pain,Chikungunya_801614
Night sweats,Jaundice,Back pain,Hypertension_377892
Constipation,Fever,Chest pain,Mononucleosis_743761
Jaundice,Red eyes,Rash,Gonorrhea_265031
Cough,Runny nose,Nausea,Multiple Sclerosis_588604
Chills,Back pain,Insomnia,Bronchitis_246116
Chest pain,Runny nose,Weight loss,Celiac Disease_40405
Chills,Tremors,Anxiety,Hypertension_971614
Joint pain,Blurred vision,Fever,Hypertension_688162
Night sweats,Sneezing,Fever,Epilepsy_66630
Itchy skin,Red eyes,Fever,Influenza_235204
Runny nose,Blurred vision,Joint pain,Glaucoma_312364
Itchy skin,Dizziness,Vomiting,Tetanus_289840
Depression,Abdominal pain,Itchy skin,Meningitis_4402
Dry mouth,Sweating,Constipation,Lupus_394756
Sore throat,Tingling,Hair loss,Meningitis_879230
Loss of appetite,Constipation,Dry mouth,Chickenpox_67769
Tremors,Palpitations,Fever,Dengue_891350
Depression,Anxiety,Dizziness,Hepatitis A_528644
Dizziness,Night sweats,Fever,Multiple Sclerosis_484460
Chills,Blurred vision,Abdominal pain,Influenza_125908
Diarrhea,Back pain,Headache,Hepatitis A_236544
Sore throat,Cough,Insomnia,Cholera_308173
Swollen glands,Muscle pain,Nausea,Ulcerative Colitis_176407
Shortness of breath,Night sweats,Dizziness,Cholera_173623
Nausea,Abdominal pain,Weight loss,UTI_20836
Nausea,Cough,Diarrhea,Tetanus_90706
Loss of appetite,Cough,Chills,Cholera_620007
Dry mouth,Abdominal pain,Palpitations,Psoriasis_507553
Chest pain,Rash,Constipation,Multiple Sclerosis_353820
Hair loss,Tingling,Cough,Diabetes_877175
Abdominal pain,Dizziness,Hearing loss,Hepatitis B_776737
Weight loss,Loss of appetite,Nausea,Malaria_524867
Constipation,Hearing loss,Joint pain,Tetanus_742204
Hair loss,Vomiting,Loss of appetite,Lupus_772646
Chest pain,Fever,Muscle pain,Hypertension_340586
Fever,Sore throat,Shortness of breath,Hepatitis A_183460
Abdominal pain,Nausea,Dizziness,Mononucleosis_481285
Tremors,Hearing loss,Nausea,Cholera_572995
Fever,Blurred vision,Chest pain,Thalassemia_101793
Hearing loss,Dizziness,Sweating,Jaundice_86508
Fever,Diarrhea,Chills,Scabies_549139
Dry mouth,Fever,Headache,Celiac Disease_603353
Dry mouth,Rash,Fatigue,Measles_620433
Nausea,Sneezing,Fatigue,Diabetes_672797
Night sweats,Fatigue,Anxiety,Mononucleosis_462241
Diarrhea,Sore throat,Palpitations,Syphilis_477657
Loss of appetite,Wheezing,Jaundice,Hepatitis B_124825
Fatigue,Weight loss,Chills,Scabies_539663
Diarrhea,Constipation,Chest pain,Epilepsy_760540
Insomnia,Palpitations,Chills,Syphilis_922523
Hearing loss,Insomnia,Night sweats,Multiple Sclerosis_928314
Headache,Sore throat,Red eyes,Glaucoma_369358
Hair loss,Sweating,Anxiety,Tetanus_475082
Tingling,Swollen glands,Joint pain,Mononucleosis_537405
Night sweats,Sneezing,Hearing loss,Anemia_129964
Swollen glands,Hearing loss,Constipation,HIV/AIDS_765190
Hair loss,Hearing loss,Fatigue,Celiac Disease_175599
Joint pain,Nausea,Fever,Malaria_363407
Joint pain,Headache,Hair loss,Malaria_61555
Sweating,Nausea,Weight loss,Epilepsy_982766
Diarrhea,Fever,Joint pain,Pneumonia_637937
Jaundice,Loss of appetite,Tremors,Gastroenteritis_595079
Rash,Fever,Diarrhea,Rabies_389012
Fever,Headache,Chills,Multiple Sclerosis_625956
Tingling,Hearing loss,Loss of appetite,Rabies_113426
Runny nose,Diarrhea,Swollen glands,Malaria_612359
Sore throat,Dizziness,Diarrhea,Conjunctivitis_704418
Sneezing,Fever,Rash,Malaria_4515
Hair loss,Shortness of breath,Nausea,Hepatitis B_559341
Hearing loss,Shortness of breath,Dizziness,Lupus_297926
Sore throat,Anxiety,Muscle pain,Vertigo_118219
Chest pain,Rash,Chills,Typhoid_498328
Night sweats,Depression,Blurred vision,Jaundice_45844
Fatigue,Sore throat,Muscle pain,Glaucoma_177952
Blurred vision,Itchy skin,Fever,Migraine_839283
Sore throat,Swollen glands,Blurred vision,Syphilis_748643
Constipation,Loss of appetite,Dizziness,Arthritis_419489
Cough,Weight loss,Blurred vision,Tuberculosis_278166
Sweating,Rash,Diarrhea,Pneumonia_625195
Jaundice,Fatigue,Itchy skin,Gastroenteritis_313191
Cough,Tingling,Hair loss,Cholera_23801
Shortness of breath,Weight loss,Tingling,Scabies_248759
Weight loss,Headache,Dizziness,Glaucoma_81812
Chills,Cough,Night sweats,Thalassemia_890509
Abdominal pain,Insomnia,Dizziness,Zika Virus_791660
Tingling,Abdominal pain,Back pain,Lupus_163514
Constipation,Cough,Headache,Influenza_505408
Back pain,Blurred vision,Abdominal pain,Leprosy_380909
Abdominal pain,Swollen glands,Chills,Anemia_930686
Dizziness,Back pain,Rash,Syphilis_416845
Sore throat,Dizziness,Muscle pain,Measles_760549
Insomnia,Anxiety,Hair loss,Celiac Disease_687119
Headache,Nausea,Runny nose,Leprosy_214067
Sore throat,Rash,Itchy skin,Typhoid_686100
Fatigue,Chills,Diarrhea,Celiac Disease_568485
Sore throat,Wheezing,Hearing loss,Migraine_917253
Muscle pain,Back pain,Hearing loss,Hepatitis A_810578
Rash,Vomiting,Cough,Hepatitis B_313563
Loss of appetite,Rash,Swollen glands,Typhoid_636650
Tremors,Wheezing,Insomnia,Chickenpox_744199
Wheezing,Abdominal pain,Itchy skin,Celiac Disease_667431
Tingling,Cough,Shortness of breath,Conjunctivitis_192484
Runny nose,Chills,Sweating,Thalassemia_142733
Nausea,Palpitations,Depression,Influenza_670318
Rash,Anxiety,Loss of appetite,Arthritis_392027
Back pain,Joint pain,Jaundice,Conjunctivitis_251318
Diarrhea,Rash,Wheezing,Sinusitis_187994
Palpitations,Sneezing,Diarrhea,Jaundice_313058
Tremors,Swollen glands,Red eyes,Hypertension_131654
Loss of appetite,Swollen glands,Constipation,Lupus_177360
Vomiting,Fever,Hair loss,Anemia_487108
Itchy skin,Constipation,Dry mouth,Arthritis_126653
Constipation,Sneezing,Hearing loss,Zika Virus_211784
Rash,Dizziness,Fever,Lupus_354230
Sneezing,Vomiting,Dry mouth,Leprosy_147091
Abdominal pain,Chest pain,Anxiety,Sinusitis_154230
Swollen glands,Itchy skin,Rash,Bronchitis_357850
Depression,Nausea,Abdominal pain,Leprosy_415087
Shortness of breath,Diarrhea,Swollen glands,Multiple Sclerosis_695278
Nausea,Joint pain,Dry mouth,Glaucoma_153986
Abdominal pain,Back pain,Dizziness,Migraine_884409
Muscle pain,Dry mouth,Shortness of breath,Vertigo_748373
Shortness of breath,Constipation,Blurred vision,Depression_709433
Sweating,Swollen glands,Insomnia,Typhoid_701878
Palpitations,Insomnia,Jaundice,COVID-19_651687
Sweating,Depression,Headache,Mononucleosis_111675
Palpitations,Sneezing,Anxiety,Gonorrhea_425387
Red eyes,Wheezing,Weight loss,Chickenpox_942275
Weight loss,Swollen glands,Fever,Cholera_811873
Swollen glands,Sore throat,Muscle pain,Chikungunya_115294
Sweating,Abdominal pain,Cough,Typhoid_480986
Back pain,Insomnia,Shortness of breath,Rabies_105468
Swollen glands,Sweating,Blurred vision,Cholera_898491
Loss of appetite,Itchy skin,Blurred vision,UTI_979292
Headache,Runny nose,Tingling,Lupus_375620
Abdominal pain,Night sweats,Sore throat,Migraine_267871
Itchy skin,Abdominal pain,Vomiting,Depression_275101
Blurred vision,Sneezing,Dry mouth,Typhoid_218878
Anxiety,Tingling,Palpitations,Hepatitis B_312827
Diarrhea,Blurred vision,Tremors,Mononucleosis_190933
Hair loss,Depression,Loss of appetite,Scabies_839077
Swollen glands,Fever,Sore throat,COVID-19_508075
Weight loss,Dry mouth,Rash,Hypertension_464234
Fatigue,Weight loss,Wheezing,Lupus_924584
Nausea,Night sweats,Hair loss,Vertigo_597999
Hearing loss,Dry mouth,Shortness of breath,Syphilis_482533
Sweating,Weight loss,Swollen glands,Jaundice_684416
Sore throat,Nausea,Itchy skin,Lupus_986638
Cough,Sore throat,Red eyes,Cholera_373815
Blurred vision,Cough,Back pain,Vertigo_686319
Dry mouth,Back pain,Depression,Asthma_679561
Sore throat,Jaundice,Constipation,Cholera_900837
Diarrhea,Anxiety,Rash,Cholera_879355
Fatigue,Diarrhea,Loss of appetite,Psoriasis_903061
Fever,Shortness of breath,Sweating,Leprosy_722873
Red eyes,Tremors,Chest pain,Ulcerative Colitis_306127
Tingling,Hearing loss,Anxiety,Meningitis_211356
Diarrhea,Rash,Sneezing,Chikungunya_645812
Tremors,Sweating,Chills,Malaria_78667
Hair loss,Tremors,Hearing loss,Anemia_74580
Diarrhea,Swollen glands,Fatigue,Typhoid_169658
Hair loss,Night sweats,Joint pain,Influenza_721102
Tingling,Diarrhea,Runny nose,Lupus_982820
Sneezing,Constipation,Swollen glands,Arthritis_993707
Night sweats,Hair loss,Anxiety,Celiac Disease_794713
Fatigue,Jaundice,Joint pain,Epilepsy_317238
Anxiety,Back pain,Diarrhea,Lupus_153164
Dry mouth,Abdominal pain,Fatigue,Gonorrhea_768225
Headache,Chills,Rash,Leprosy_998827
Loss of appetite,Fatigue,Depression,Dengue_210642
Tremors,Vomiting,Abdominal pain,Chikungunya_424782
Tremors,Back pain,Headache,Syphilis_297659
Dizziness,Itchy skin,Palpitations,Asthma_811167
Hearing loss,Sweating,Nausea,Celiac Disease_157521
Weight loss,Hair loss,Swollen glands,Vertigo_185241
Loss of appetite,Tremors,Hearing loss,Gonorrhea_480771
Insomnia,Hair loss,Diarrhea,Psoriasis_109193
Red eyes,Cough,Sneezing,UTI_596848
Cough,Palpitations,Muscle pain,Syphilis_101423
Shortness of breath,Constipation,Runny nose,COVID-19_683795
Runny nose,Tremors,Dry mouth,Meningitis_296502
Vomiting,Headache,Hair loss,Hepatitis B_104171
Depression,Diarrhea,Red eyes,Measles_226765
Swollen glands,Wheezing,Loss of appetite,Typhoid_885050
Runny nose,Jaundice,Wheezing,COVID-19_874879
Constipation,Fatigue,Itchy skin,Thalassemia_276317
Dizziness,Diarrhea,Loss of appetite,Asthma_981459
Blurred vision,Abdominal pain,Sneezing,Pneumonia_751649
Hearing loss,Loss of appetite,Wheezing,Chickenpox_788083
Sneezing,Cough,Weight loss,Typhoid_633614
Runny nose,Back pain,Loss of appetite,Glaucoma_4486
Sneezing,Swollen glands,Wheezing,Syphilis_418685
Swollen glands,Abdominal pain,Night sweats,Chickenpox_893101
Red eyes,Hearing loss,Diarrhea,Tuberculosis_694512
Itchy skin,Runny nose,Jaundice,Gonorrhea_109827
Constipation,Vomiting,Hair loss,Tetanus_48938
Hair loss,Weight loss,Sore throat,Rabies_225068
Sneezing,Wheezing,Constipation,Migraine_983631
Shortness of breath,Hearing loss,Abdominal pain,Migraine_205035
Vomiting,Cough,Blurred vision,Celiac Disease_330113
Swollen glands,Abdominal pain,Runny nose,Typhoid_818672
Depression,Tremors,Diarrhea,Migraine_741119
Rash,Hearing loss,Chest pain,Depression_835059
Weight loss,Palpitations,Abdominal pain,Leprosy_665373
Chest pain,Loss of appetite,Joint pain,Cholera_718125
Constipation,Jaundice,Cough,Psoriasis_596471
Runny nose,Red eyes,Abdominal pain,Depression_56509
Hair loss,Wheezing,Palpitations,Gastroenteritis_776273
Red eyes,Hair loss,Palpitations,COVID-19_893187
Sweating,Red eyes,Depression,Mononucleosis_863453
